playerName,tag,shipName,type,class,tier,lastBattle,lastUpdated,battles,winRatio,survivalRatio,survivedWins,survivalWinRatio,playerRating,adjustedRating,averageDamage,averageKills,mainBatteryAccuracy,maxDamage,maxPotentialDamage,shipsSpotted,averageShipsSpotted,averageRamKills,averageSecondaryKills,torpedoKills,torpedoAccuracy,averageScoutingDamage,maxScoutingDamage,baseCaptures,baseDefense
Eviscerator29,R-SKY,Incomparable,Random,Battleship,10,8/3/2023,8/3/2023,12,0.75,0.4167,5,0.5556,1334,506,86360.33,1,2.6098,172335,2856053,3,0.25,0,0,0,0,17214.0833,56779,19,2
Eviscerator29,R-SKY,Marceau,Random,Destroyer,10,7/14/2023,7/15/2023,1,0,0,0,0,390,0,30088,0,0,30088,562300,0,0,0,0,0,0,45718,45718,0,4
Eviscerator29,R-SKY,Halland,Random,Destroyer,10,8/7/2023,8/7/2023,76,0.4342,0.2763,17,0.5152,1093,1093,47831.72,0.58,2.3163,182460,2065099,113,1.49,0,0,18,10.2802,45073.1579,183890,2396,490
Eviscerator29,R-SKY,Shimakaze,Random,Destroyer,10,9/16/2023,9/16/2023,13,0.3846,0.0769,1,0.2,699,289.2414,33595.46,0.46,2.4524,84570,747200,17,1.31,0,0,3,19.6154,47725.9231,111390,378,63
Eviscerator29,R-SKY,Des Moines,Random,Cruiser,10,12/12/2022,12/12/2022,6,0.5,0.3333,2,0.6667,1108,191.0345,56007.5,0.5,2.5832,91455,1176200,1,0.17,0,0,0,0,16190.8333,47702,60,17
Eviscerator29,R-SKY,Yamato,Random,Battleship,10,9/16/2023,9/16/2023,113,0.5487,0.4425,43,0.6935,1792,1792,105719.85,0.92,3.133,279567,3582039,10,0.09,0.0088,0.0354,0,0,15763.2124,76412,395,1015
Eviscerator29,R-SKY,Montana,Random,Battleship,10,9/17/2023,9/17/2023,5,0.4,0.4,1,0.5,1893,261.1034,121402.4,1.2,3.5014,175864,2171901,1,0.2,0,0,0,0,27886.2,38668,0,82
ObscureIntentions,R-SKY,Gibraltar,Random,Cruiser,10,9/15/2023,9/15/2023,29,0.5862,0.4828,12,0.7059,1213,1171.1724,69928.72,1.03,2.5511,152095,2013012,5,0.17,0,0,0,0,24570.7931,94603,276,331
ObscureIntentions,R-SKY,Gouden Leeuw,Random,Cruiser,10,9/15/2023,9/15/2023,155,0.5355,0.3806,56,0.6747,1366,1366,83248.54,0.79,2.6709,233535,2788232,58,0.37,0.0065,0.0258,0,0,19585.9935,100137,1470,1747
ObscureIntentions,R-SKY,Yueyang,Random,Destroyer,10,9/14/2023,9/14/2023,1,1,1,1,1,1143,0,26164,1,5.2157,26164,178800,0,0,0,0,0,0,53960,53960,38,37
ObscureIntentions,R-SKY,Preussen,Random,Battleship,10,9/14/2023,9/14/2023,3,0.3333,0.3333,1,1,597,41.1724,52892.33,0.67,3.2813,100834,1965308,2,0.67,0,0,0,0,4887,7328,0,7
ObscureIntentions,R-SKY,Somers,Random,Destroyer,10,9/14/2023,9/14/2023,10,0.1,0.2,0,0,1060,328.9655,64411.7,0.8,2.3957,114827,1269735,17,1.7,0,0,4,15.4595,31871.7,93365,350,19
ObscureIntentions,R-SKY,Napoli,Random,Cruiser,10,9/15/2023,9/15/2023,23,0.4783,0.2609,5,0.4545,1298,984.6897,66409.61,0.91,2.1974,179785,3008735,11,0.48,0,0.2174,2,18.3529,24328.4783,68711,350,105
ObscureIntentions,R-SKY,Venezia,Random,Cruiser,10,9/15/2023,9/15/2023,62,0.5806,0.629,27,0.75,1305,1305,76617.94,1.08,2.6631,159291,2362800,15,0.24,0,0.0161,4,36.5,24041.6935,89214,632,590
ObscureIntentions,R-SKY,République,Random,Battleship,10,6/9/2023,6/23/2023,119,0.5882,0.3697,40,0.5714,1333,1333,88759.09,0.98,3.5633,236295,3318150,17,0.14,0,0.0252,0,0,20326.8908,89738,565,630
ObscureIntentions,R-SKY,Vermont,Random,Battleship,10,6/23/2023,6/23/2023,15,0.6,0.4667,6,0.6667,1507,727.5172,98335.6,1.13,3.8578,157093,2285700,4,0.27,0,0,0,0,15289.4,46419,137,94
ObscureIntentions,R-SKY,Bourgogne,Random,Battleship,10,8/19/2023,8/19/2023,11,0.6364,0.3636,4,0.5714,1020,351.7241,86457.27,1,3.181,144438,2675401,6,0.55,0,0,0,0,17722.6364,36738,24,24
ObscureIntentions,R-SKY,Yodo,Random,Cruiser,10,9/15/2023,9/15/2023,11,0.3636,0.5455,3,0.75,983,338.9655,62145.91,0.73,3.4556,152777,2289450,3,0.27,0,0,1,242,43854.3636,116363,91,111
ObscureIntentions,R-SKY,Kremlin,Random,Battleship,10,9/14/2023,9/14/2023,27,0.4444,0.4074,10,0.8333,1422,1274.8966,100392,0.89,2.9029,230572,3621998,8,0.3,0,0.037,0,0,21910.5185,81912,122,94
ObscureIntentions,R-SKY,Goliath,Random,Cruiser,10,9/15/2023,9/15/2023,15,0.5333,0.5333,5,0.625,1302,628.5517,92006.4,0.8,3.1117,138342,2431900,4,0.27,0,0,0,0,21267.3333,59235,103,38
ObscureIntentions,R-SKY,Hindenburg,Random,Cruiser,10,8/19/2023,8/19/2023,22,0.4091,0.5909,7,0.7778,1380,999.3103,84209,0.86,3.3837,219312,2642802,5,0.23,0,0,0,0,19167.1364,53030,238,344
ObscureIntentions,R-SKY,Schlieffen,Random,Battleship,10,8/12/2023,8/12/2023,16,0.375,0.0625,0,0,951,491.8966,75766.75,0.69,3.1065,182236,2791561,8,0.5,0,0.125,1,56,14575.875,65947,0,221
ObscureIntentions,R-SKY,Khabarovsk,Random,Destroyer,10,9/14/2023,9/14/2023,3,0.6667,0.6667,2,1,2558,176.4138,104431,1,2.4343,133842,1857400,4,1.33,0.3333,0,0,0,52974.6667,86786,71,71
ObscureIntentions,R-SKY,Álvaro de Bazán,Random,Destroyer,10,9/14/2023,9/14/2023,19,0.6842,0.5789,10,0.7692,1353,839.7931,45886.11,0.58,2.3308,84439,1675797,27,1.42,0,0,2,40.8,61280.7895,156575,988,272
ObscureIntentions,R-SKY,Ohio,Random,Battleship,10,8/26/2023,8/26/2023,12,0.4167,0.25,3,0.6,891,337.9655,76890.17,1,3.5476,151654,3379601,4,0.33,0,0.1667,0,0,21628.3333,48258,129,3
ObscureIntentions,R-SKY,Salem,Random,Cruiser,10,1/3/2023,6/24/2023,9,0.7778,0.4444,4,0.5714,2255,622.069,81655.22,1.56,3.1564,120487,1980650,2,0.22,0.1111,0.1111,0,0,24000.5556,59497,178,51
ObscureIntentions,R-SKY,Sevastopol,Random,Cruiser,10,9/15/2023,9/15/2023,14,0.5,0.2857,3,0.4286,849,380.5862,55888.07,0.93,2.25,104532,2792431,6,0.43,0,0,0,0,27040.5714,88252,119,80
ObscureIntentions,R-SKY,Conqueror,Random,Battleship,10,5/27/2023,7/9/2023,3,1,0.6667,2,0.6667,1681,115.931,95117.33,1,3.6643,111328,1239712,0,0,0,0,0,0,32944.6667,69695,0,0
ObscureIntentions,R-SKY,Jinan,Random,Cruiser,10,9/14/2023,9/14/2023,15,0.2667,0.4667,4,1,1345,649.3103,67998.67,1.13,4.6654,134235,2130900,3,0.2,0,0,3,30.3704,34904.7333,78327,180,115
ObscureIntentions,R-SKY,Forrest Sherman,Random,Destroyer,10,9/14/2023,9/14/2023,21,0.619,0.381,8,0.6154,1664,1147.5862,67855.48,0.76,2.1799,149790,1728400,43,2.05,0,0,0,0,27408.3333,60839,525,458
ObscureIntentions,R-SKY,Attilio Regolo,Random,Destroyer,10,9/14/2023,9/14/2023,7,0.4286,0.1429,1,0.3333,1339,277.0345,64763.57,0.86,1.6875,137958,1316600,11,1.57,0,0,2,15.25,80716.8571,207360,295,0
ObscureIntentions,R-SKY,Smolensk,Random,Cruiser,10,9/14/2023,9/14/2023,20,0.6,0.4,7,0.5833,1482,970.9655,83641.15,0.9,3.0987,181945,1667635,5,0.25,0,0,0,0,13676.25,41506,317,405
ObscureIntentions,R-SKY,Henri IV,Random,Cruiser,10,9/15/2023,9/15/2023,27,0.6296,0.4444,9,0.5294,1438,1289.2414,78097.37,1.04,2.8221,163671,2478700,10,0.37,0,0,1,16.2,22179.8519,76792,261,214
ObscureIntentions,R-SKY,Yoshino,Random,Cruiser,10,9/15/2023,9/15/2023,73,0.5068,0.3699,23,0.6216,1245,1245,74448.89,0.84,3.2143,209812,3118800,20,0.27,0,0.0137,7,32.5128,20138.2877,74962,288,881
ObscureIntentions,R-SKY,Druid,Random,Destroyer,10,9/14/2023,9/14/2023,23,0.5652,0.4348,10,0.7692,1147,870.1379,59031.78,0.7,2.1633,155701,1557531,42,1.83,0,0,0,0,42566.3478,116359,576,241
ObscureIntentions,R-SKY,Ragnar,Random,Destroyer,10,9/14/2023,9/14/2023,5,1,0.8,4,0.8,1619,223.3103,62100.8,0.8,2.3793,99101,1208968,5,1,0,0,0,0,36605.8,93544,132,93
ObscureIntentions,R-SKY,Minotaur,Random,Cruiser,10,9/15/2023,9/15/2023,68,0.3971,0.2794,18,0.6667,1301,1301,66534.88,1.01,3.6087,165439,2114003,29,0.43,0,0,13,17.0678,17161.1765,92695,1033,461
ObscureIntentions,R-SKY,Daring,Random,Destroyer,10,9/14/2023,9/14/2023,3,0.3333,0.3333,1,1,555,38.2759,28035.33,0.67,2.5842,60546,791198,8,2.67,0,0,0,0,12128.6667,22205,60,0
ObscureIntentions,R-SKY,Cristoforo Colombo,Random,Battleship,10,9/14/2023,9/14/2023,47,0.5106,0.4468,16,0.6667,1057,1057,82865.53,0.79,4.1137,250295,3179107,17,0.36,0.0213,0.0851,0,0,16667.7447,55017,200,487
ObscureIntentions,R-SKY,Elbing,Random,Destroyer,10,9/14/2023,9/14/2023,9,0.4444,0.2222,2,0.5,1133,312.5517,64172.33,0.67,1.8304,136926,925068,11,1.22,0,0,1,43.125,49694.3333,171727,207,85
ObscureIntentions,R-SKY,Harugumo,Random,Destroyer,10,2/10/2023,6/26/2023,5,1,0.2,1,0.2,1575,217.2414,47299.8,0.6,2.9461,87100,1187603,20,4,0,0,1,16.5,61251.2,125641,175,84
ObscureIntentions,R-SKY,Vampire II,Random,Destroyer,10,9/14/2023,9/14/2023,8,0.5,0.25,1,0.25,927,223.7586,35175.38,1,2.7833,72951,963572,13,1.63,0,0,0,0,22283.125,34340,164,88
ObscureIntentions,R-SKY,Delny,Random,Destroyer,10,9/14/2023,9/14/2023,2,0.5,0.5,1,1,883,30.4483,55347,0.5,1.9079,82048,1085830,0,0,0,0,0,0,50233.5,59306,60,50
ObscureIntentions,R-SKY,Marceau,Random,Destroyer,10,9/14/2023,9/14/2023,7,0.7143,0.4286,3,0.6,1165,241.0345,42815.71,0.14,0,137390,2271483,7,1,0,0,0,0,29974,48379,302,10
ObscureIntentions,R-SKY,Puerto Rico,Random,Cruiser,10,9/15/2023,9/15/2023,5,0.6,0.2,1,0.3333,500,68.9655,43427,0,0,104893,1987269,6,1.2,0,0,0,0,10088.4,32898,0,1
ObscureIntentions,R-SKY,Kléber,Random,Destroyer,10,9/14/2023,9/14/2023,7,0.7143,0.8571,4,0.8,2773,573.7241,100867,1.71,2.0261,186478,1718872,10,1.43,0,0,2,18.8571,42288.2857,94731,373,129
ObscureIntentions,R-SKY,Worcester,Random,Cruiser,10,9/15/2023,9/15/2023,6,0.5,0.1667,0,0,1127,194.3103,60463.33,0.5,4.2243,92288,1652834,2,0.33,0,0,0,0,14799.6667,23239,0,106
ObscureIntentions,R-SKY,Grozovoi,Random,Destroyer,10,9/14/2023,9/14/2023,5,0.8,0.6,3,0.75,1813,250.069,50062.8,1,2.4277,70175,1232050,10,2,0,0,0,0,57428.2,97836,246,228
ObscureIntentions,R-SKY,Tromp,Random,Destroyer,10,9/14/2023,9/14/2023,15,0.4667,0.3333,5,0.7143,1434,692.2759,54711.6,0.93,2.481,141948,1117800,20,1.33,0,0,2,24,43554.6667,191218,532,113
ObscureIntentions,R-SKY,Z-52,Random,Destroyer,10,9/14/2023,9/14/2023,5,0.6,0.8,3,1,1827,252,49810,1,2.3698,117700,860640,9,1.8,0,0,1,19.5,36621.6,72601,249,120
ObscureIntentions,R-SKY,Alexander Nevsky,Random,Cruiser,10,9/14/2023,9/14/2023,21,0.5238,0.5714,7,0.6364,1118,771.0345,64570.71,0.86,3.0862,128266,3046050,10,0.48,0,0,1,12.5,23936.4762,57113,258,357
ObscureIntentions,R-SKY,Marseille,Random,Cruiser,10,9/15/2023,9/15/2023,10,0.6,0.6,5,0.8333,1309,406.2414,73791.9,1.4,3.0257,121249,2020789,1,0.1,0,0,0,0,27822.7,63235,194,98
ObscureIntentions,R-SKY,Moskva,Random,Cruiser,10,9/15/2023,9/15/2023,135,0.5111,0.2667,31,0.4493,1072,1072,53391.82,0.63,2.7343,146740,2970100,131,0.97,0,0,0,0,23971.7704,90580,905,1085
ObscureIntentions,R-SKY,Petropavlovsk,Random,Cruiser,10,9/15/2023,9/15/2023,24,0.75,0.4167,9,0.5,1409,1117.4828,64256.54,0.79,2.6537,134741,2515368,18,0.75,0,0,0,0,24587.25,71014,219,469
ObscureIntentions,R-SKY,Stalingrad,Random,Cruiser,10,9/15/2023,9/15/2023,47,0.6383,0.383,16,0.5333,1035,1035,72884.74,0.49,2.3809,167045,3930368,40,0.85,0,0,0,0,23370.9787,88848,247,233
ObscureIntentions,R-SKY,Incomparable,Random,Battleship,10,9/13/2023,9/13/2023,22,0.5455,0.3182,7,0.5833,829,600.3103,70055.18,0.73,2.8223,182872,4614255,7,0.32,0,0,0,0,26227.5909,90167,4,169
ObscureIntentions,R-SKY,St. Vincent,Random,Battleship,10,9/8/2023,9/8/2023,21,0.5714,0.4286,8,0.6667,1136,783.4483,97421.38,0.9,3.0344,205775,2725300,3,0.14,0.0952,0,1,8,18666.0952,57650,9,182
ObscureIntentions,R-SKY,Louisiana,Random,Battleship,10,8/12/2023,8/12/2023,10,0.5,0.5,5,1,1026,318.4138,100515.6,0.3,3.203,154489,3065270,8,0.8,0,0,0,0,35394.4,62135,10,72
ObscureIntentions,R-SKY,Halland,Random,Destroyer,10,9/14/2023,9/14/2023,57,0.614,0.4912,25,0.7143,1842,1842,62586.05,0.96,2.811,193505,1427168,117,2.05,0,0,28,9.8193,60293.3158,200660,2773,473
ObscureIntentions,R-SKY,Shimakaze,Random,Destroyer,10,9/14/2023,9/14/2023,5,0.6,0.6,2,0.6667,1781,245.6552,55025.2,1,4.125,111202,1137300,17,3.4,0,0,3,15.5882,46811.8,66452,202,0
ObscureIntentions,R-SKY,Za?,Random,Cruiser,10,9/15/2023,9/15/2023,18,0.3889,0.5556,7,1,1092,640.1379,73063.22,0.61,2.6841,129222,2417500,7,0.39,0,0,0,0,22461,77632,81,132
ObscureIntentions,R-SKY,Yamato,Random,Battleship,10,9/14/2023,9/14/2023,50,0.58,0.46,18,0.6207,1676,1676,91641.22,1.02,3.3961,268783,4162050,4,0.08,0.02,0.02,0,0,20831.78,64896,11,220
ObscureIntentions,R-SKY,Montana,Random,Battleship,10,8/10/2023,8/10/2023,57,0.4035,0.3333,15,0.6522,1086,1086,79341.47,0.77,3.6502,186631,3055300,7,0.12,0,0.0526,0,0,22095.3158,101705,12,118
ObscureIntentions,R-SKY,Gearing,Random,Destroyer,10,9/14/2023,9/14/2023,9,0.7778,0.8889,7,1,1769,488,52889.67,0.67,2.9223,111707,998267,17,1.89,0,0,1,18.75,60276.7778,160122,381,53
ObscureIntentions,R-SKY,Des Moines,Random,Cruiser,10,6/26/2023,6/26/2023,56,0.5714,0.3571,18,0.5625,1772,1772,71507.55,0.98,2.9931,185634,2615971,51,0.91,0,0,0,0,22946.8929,69211,429,623
GodzilIa,R-SKY,Delny,Random,Destroyer,10,9/15/2023,9/15/2023,4,0.25,0.25,1,1,1349,139.5517,69259.75,1.25,2.1329,110517,2366850,9,2.25,0,0,0,0,49834.25,82612,0,57
GodzilIa,R-SKY,Khabarovsk,Random,Destroyer,10,9/15/2023,9/15/2023,74,0.6351,0.5135,31,0.6596,2375,2375,93793.36,1.16,2.038,234880,2743800,128,1.73,0,0,1,47.8571,50735.2432,148018,1585,699
GodzilIa,R-SKY,Alexander Nevsky,Random,Cruiser,10,9/15/2023,9/15/2023,158,0.5886,0.5127,66,0.7097,1615,1615,89787.65,0.93,2.7942,226764,3519200,95,0.6,0.0063,0,7,14.4737,26047.9051,96427,388,2028
GodzilIa,R-SKY,Conqueror,Random,Battleship,10,9/4/2023,9/4/2023,11,0.8182,0.8182,8,0.8889,2029,699.6552,131674,1.27,3.6034,216698,2814400,2,0.18,0,0,0,0,28135.1818,57728,12,84
GodzilIa,R-SKY,Harugumo,Random,Destroyer,10,9/15/2023,9/15/2023,45,0.5333,0.2889,12,0.5,2270,2270,81199.53,1.4,2.5324,180992,1687867,60,1.33,0,0,9,23.5385,28689.7333,79850,895,483
GodzilIa,R-SKY,Forrest Sherman,Random,Destroyer,10,9/15/2023,9/15/2023,96,0.5417,0.3125,28,0.5385,1931,1931,75535.91,1.11,2.275,222248,1533434,141,1.47,0,0,1,25.7895,28478.625,126097,2603,1441
GodzilIa,R-SKY,Moskva,Random,Cruiser,10,9/15/2023,9/15/2023,123,0.5691,0.3659,40,0.5714,1674,1674,78697.65,0.74,2.5498,220632,3772800,55,0.45,0.0163,0.0244,0,0,26793,112478,399,800
GodzilIa,R-SKY,Puerto Rico,Random,Cruiser,10,9/15/2023,9/15/2023,15,0.6667,0.2667,4,0.4,1868,901.7931,92348.27,1,2.7399,160868,2789300,10,0.67,0.0667,0.0667,0,0,30063.2667,82637,46,23
GodzilIa,R-SKY,Petropavlovsk,Random,Cruiser,10,9/15/2023,9/15/2023,34,0.6176,0.2647,9,0.4286,1287,1287,68807.18,0.65,2.4606,143429,2988799,25,0.74,0.0294,0,0,0,31264.9118,109282,340,179
GodzilIa,R-SKY,Kléber,Random,Destroyer,10,9/15/2023,9/15/2023,3,0.6667,0.3333,1,0.5,1776,122.4828,71259.33,1,1.8503,123075,2215834,1,0.33,0,0,0,0,68887.3333,94433,92,0
